% Model:              Main1-recovery1.mph
% Version:            COMSOL 6.3.0.290
% Date:               Nov 13 2025, 18:33
% Table:              Table 1 - 
% mesh_scale                                      Eigenfrequency (THz)                              Frequency (THz)                                   Quality factor (1)                                Frequency (THz)                                   Quality factor (1)                                Frequency (THz)                                   Quality factor (1)
1.6                                               468.2637762980574+1.35991581075773i               468.2637762980574                                 172.16645787695708                                468.2637762980574                                 172.16645787695708                                468.2637762980574                                 172.16645787695708
1.6                                               468.51352763600966+2.214313971184891i             468.51352763600966                                105.79202717700093                                468.51352763600966                                105.79202717700093                                468.51352763600966                                105.79202717700093
1.6                                               468.8932096372449+3.4512517297015117i             468.8932096372449                                 67.93089092892654                                 468.8932096372449                                 67.93089092892654                                 468.8932096372449                                 67.93089092892654
1.6                                               469.19882746250687+1.658054107622794i             469.19882746250687                                141.49080699640513                                469.19882746250687                                141.49080699640513                                469.19882746250687                                141.49080699640513
1.6                                               470.09658511055187+2.7841376353679514i            470.09658511055187                                84.42409224650704                                 470.09658511055187                                84.42409224650704                                 470.09658511055187                                84.42409224650704
1.6                                               470.23981144767043+3.933647391517258i             470.23981144767043                                59.77147474653199                                 470.23981144767043                                59.77147474653199                                 470.23981144767043                                59.77147474653199
1.6                                               470.7311104328385+2.1254256047718396i             470.7311104328385                                 110.73808214599225                                470.7311104328385                                 110.73808214599225                                470.7311104328385                                 110.73808214599225
1.6                                               470.74167665307203+1.379295860153235i             470.74167665307203                                170.64564980307208                                470.74167665307203                                170.64564980307208                                470.74167665307203                                170.64564980307208
1.6                                               471.14697859638835+2.7917303650536653i            471.14697859638835                                84.38260809391087                                 471.14697859638835                                84.38260809391087                                 471.14697859638835                                84.38260809391087
1.6                                               471.5422088099295+1.6353812437675233i             471.5422088099295                                 144.1688935246714                                 471.5422088099295                                 144.1688935246714                                 471.5422088099295                                 144.1688935246714
1.6                                               472.11781607036136+2.1453466277539004i            472.11781607036136                                110.03299186310313                                472.11781607036136                                110.03299186310313                                472.11781607036136                                110.03299186310313
1.6                                               472.5216252709324+2.4667655205709984i             472.5216252709324                                 95.77757215480187                                 472.5216252709324                                 95.77757215480187                                 472.5216252709324                                 95.77757215480187
1.6                                               472.93568588225304+3.7519428828243093i            472.93568588225304                                63.02543784012063                                 472.93568588225304                                63.02543784012063                                 472.93568588225304                                63.02543784012063
